product,metal,width,optical_code,height_40,height_70,height_110,height_200,timestamp_first,timestamp_last
bouteille_b,False,83,W009006,True,True,True,False,2024-11-14 14:41:02.352234,2024-11-14 14:41:02.378936
canette,True,44,S026004,True,True,False,False,2024-11-14 14:41:02.440629,2024-11-14 14:41:02.488775
bouteille_b,False,141,W003005,True,True,False,False,2024-11-14 14:41:02.474199,2024-11-14 14:41:02.503066
tetrapak,False,64,B062005,True,False,False,False,2024-11-14 14:41:02.563629,2024-11-14 14:41:02.595670
carton_grand,False,184,B080017,True,True,True,True,2024-11-14 14:41:02.664224,2024-11-14 14:41:02.666623
yaourt,False,32,W024007,True,False,False,False,2024-11-14 14:41:02.725410,2024-11-14 14:41:02.752754
bouteille_t,False,79,T044128,True,True,True,False,2024-11-14 14:41:02.814977,2024-11-14 14:41:02.844278
carton_petit,False,114,B090015,True,True,False,False,2024-11-14 14:41:02.927880,2024-11-14 14:41:02.974534
bouteille_t,False,99,T038091,True,False,False,False,2024-11-14 14:41:03.005437,2024-11-14 14:41:03.032070
yaourt,False,51,W039012,True,True,False,False,2024-11-14 14:41:03.104968,2024-11-14 14:41:03.135462
canette,True,115,S037005,False,False,False,False,2024-11-14 14:41:03.229559,2024-11-14 14:41:03.265081
carton_petit,False,97,B084020,True,False,False,False,2024-11-14 14:41:03.334912,2024-11-14 14:41:03.373235
dechet,False,54,T028083,True,True,False,False,2024-11-14 14:41:03.405419,2024-11-14 14:41:03.438228
dechet,False,91,B018039,True,True,False,False,2024-11-14 14:41:03.498237,2024-11-14 14:41:03.530957
yaourt,False,63,W034010,True,False,False,False,2024-11-14 14:41:03.584442,2024-11-14 14:41:03.607755
yaourt,False,60,W043003,True,False,False,False,2024-11-14 14:41:03.692202,2024-11-14 14:41:03.716513
dechet,False,67,T034074,True,True,False,False,2024-11-14 14:41:03.777754,2024-11-14 14:41:03.819183
dechet,False,53,T031022,True,True,False,False,2024-11-14 14:41:03.856473,2024-11-14 14:41:03.882258
dechet,False,75,B019043,True,True,False,False,2024-11-14 14:41:03.953070,2024-11-14 14:41:04.000366
dechet,False,64,T045081,True,False,False,False,2024-11-14 14:41:04.067905,2024-11-14 14:41:04.109027
journal,False,283,B081047,True,True,True,True,2024-11-14 14:41:04.231543,2024-11-14 14:41:04.236747
dechet,False,63,B015046,True,True,True,False,2024-11-14 14:41:04.310512,2024-11-14 14:41:04.348704
carton_petit,False,71,B055016,True,True,False,False,2024-11-14 14:41:04.379706,2024-11-14 14:41:04.407724
tetrapak,False,43,B052009,True,False,False,False,2024-11-14 14:41:04.454537,2024-11-14 14:41:04.478341
journal,False,217,B081068,False,False,False,False,2024-11-14 14:41:04.617391,2024-11-14 14:41:04.757494
canette,True,107,S025005,True,False,False,False,2024-11-14 14:41:04.702191,2024-11-14 14:41:04.731863
yaourt,False,72,W053009,True,True,False,False,2024-11-14 14:41:04.835826,2024-11-14 14:41:04.864651
canette,True,80,S029006,True,True,False,False,2024-11-14 14:41:04.934070,2024-11-14 14:41:04.957154
tetrapak,False,64,B074010,True,True,False,False,2024-11-14 14:41:05.040154,2024-11-14 14:41:05.065919
dechet,False,85,T015084,True,True,False,False,2024-11-14 14:41:05.079116,2024-11-14 14:41:05.120251
dechet,False,208,B095015,False,False,False,False,2024-11-14 14:41:05.206440,2024-11-14 14:41:05.351733
conserve,True,106,S026007,True,True,False,False,2024-11-14 14:41:05.295211,2024-11-14 14:41:05.336281
dechet,False,70,T047052,True,False,False,False,2024-11-14 14:41:05.413482,2024-11-14 14:41:05.446936
conserve,True,74,S029003,True,True,True,False,2024-11-14 14:41:05.511058,2024-11-14 14:41:05.551226
bouteille_b,False,66,W011004,True,False,False,False,2024-11-14 14:41:05.630523,2024-11-14 14:41:05.675564
canette,True,63,S035004,True,True,False,False,2024-11-14 14:41:05.747439,2024-11-14 14:41:05.780561
conserve,True,86,S043004,True,True,False,False,2024-11-14 14:41:05.892523,2024-11-14 14:41:05.946220
dechet,False,74,T020071,True,True,False,False,2024-11-14 14:41:05.944044,2024-11-14 14:41:05.988609
conserve,True,97,S028005,True,True,False,False,2024-11-14 14:41:06.039941,2024-11-14 14:41:06.060080
dechet,False,68,T058039,True,True,False,False,2024-11-14 14:41:06.185365,2024-11-14 14:41:06.223553
dechet,False,178,B073019,False,False,False,False,2024-11-14 14:41:06.283463,2024-11-14 14:41:06.359266
yaourt,False,45,W041009,True,False,False,False,2024-11-14 14:41:06.388390,2024-11-14 14:41:06.415473
dechet,False,74,W028010,True,False,False,False,2024-11-14 14:41:06.468711,2024-11-14 14:41:06.498317
carton_petit,False,93,B088016,True,True,False,False,2024-11-14 14:41:06.579793,2024-11-14 14:41:06.633222
carton_petit,False,119,B048017,True,True,True,False,2024-11-14 14:41:06.640074,2024-11-14 14:41:06.680248
bouteille_b,False,74,W003007,True,False,False,False,2024-11-14 14:41:06.679547,2024-11-14 14:41:06.718695
bouteille_t,False,65,T038111,True,True,True,True,2024-11-14 14:41:06.757035,2024-11-14 14:41:06.793594
dechet,False,191,B068012,False,False,False,False,2024-11-14 14:41:06.847976,2024-11-14 14:41:06.939784
dechet,False,61,W046014,True,False,False,False,2024-11-14 14:41:06.979693,2024-11-14 14:41:07.000690
dechet,False,63,W037001,True,False,False,False,2024-11-14 14:41:07.086747,2024-11-14 14:41:07.113803
dechet,False,67,T026059,True,True,False,False,2024-11-14 14:41:07.153335,2024-11-14 14:41:07.184737
canette,True,62,S021004,True,True,True,False,2024-11-14 14:41:07.225900,2024-11-14 14:41:07.249204
bouteille_b,False,189,W012007,True,True,False,False,2024-11-14 14:41:07.347012,2024-11-14 14:41:07.373262
dechet,False,85,B015045,True,True,False,False,2024-11-14 14:41:07.422760,2024-11-14 14:41:07.473997
carton_petit,False,82,B055030,True,True,False,False,2024-11-14 14:41:07.491705,2024-11-14 14:41:07.531760
carton_grand,False,261,B081023,True,True,True,True,2024-11-14 14:41:07.593551,2024-11-14 14:41:07.595754
canette,True,86,S028005,True,True,False,False,2024-11-14 14:41:07.687940,2024-11-14 14:41:07.718999
dechet,False,88,T047088,True,True,False,False,2024-11-14 14:41:07.806802,2024-11-14 14:41:07.856902
tetrapak,False,67,B117003,True,False,False,False,2024-11-14 14:41:07.974669,2024-11-14 14:41:08.001447
canette,True,96,S034006,True,True,False,False,2024-11-14 14:41:08.088693,2024-11-14 14:41:08.106875
dechet,False,57,B007076,True,True,False,False,2024-11-14 14:41:08.126953,2024-11-14 14:41:08.162752
conserve,True,76,S018006,True,True,False,False,2024-11-14 14:41:08.189002,2024-11-14 14:41:08.239104
bouteille_b,False,80,W002006,True,True,False,False,2024-11-14 14:41:08.216167,2024-11-14 14:41:08.295425
conserve,True,75,S020006,True,True,False,False,2024-11-14 14:41:08.283151,2024-11-14 14:41:08.329843
dechet,False,89,T031047,True,True,False,False,2024-11-14 14:41:08.362476,2024-11-14 14:41:08.393786
yaourt,False,72,W039011,True,False,False,False,2024-11-14 14:41:08.460076,2024-11-14 14:41:08.490694
dechet,False,88,T034089,True,True,False,False,2024-11-14 14:41:08.546017,2024-11-14 14:41:08.565417
bouteille_t,False,129,T040105,True,False,False,False,2024-11-14 14:41:08.627318,2024-11-14 14:41:08.654147
dechet,False,83,B022088,True,True,False,False,2024-11-14 14:41:08.740263,2024-11-14 14:41:08.797536
carton_petit,False,94,B080018,True,True,False,False,2024-11-14 14:41:08.840636,2024-11-14 14:41:08.883486
canette,True,75,S028003,True,False,False,False,2024-11-14 14:41:08.935172,2024-11-14 14:41:08.985221
carton_grand,False,375,B083012,True,True,True,True,2024-11-14 14:41:09.039384,2024-11-14 14:41:09.041948
carton_petit,False,91,B082021,True,True,True,False,2024-11-14 14:41:09.143081,2024-11-14 14:41:09.186730
bouteille_t,False,53,T031099,True,True,False,False,2024-11-14 14:41:09.205459,2024-11-14 14:41:09.305749
dechet,False,83,T036076,True,True,False,False,2024-11-14 14:41:09.297137,2024-11-14 14:41:09.336874
bouteille_b,False,59,W006006,True,True,True,False,2024-11-14 14:41:09.361306,2024-11-14 14:41:09.391733
bouteille_t,False,61,T057067,True,True,False,False,2024-11-14 14:41:09.475353,2024-11-14 14:41:09.527953
carton_petit,False,57,B084018,True,True,False,False,2024-11-14 14:41:09.580792,2024-11-14 14:41:09.630659
canette,True,78,S003006,True,True,False,False,2024-11-14 14:41:09.591349,2024-11-14 14:41:09.640853
conserve,True,75,S031003,True,True,False,False,2024-11-14 14:41:09.697203,2024-11-14 14:41:09.744761
dechet,False,66,W034011,True,False,False,False,2024-11-14 14:41:09.795317,2024-11-14 14:41:09.816931
yaourt,False,38,W059014,True,False,False,False,2024-11-14 14:41:09.944140,2024-11-14 14:41:09.970375
yaourt,False,53,W033012,True,False,False,False,2024-11-14 14:41:10.027572,2024-11-14 14:41:10.050285
conserve,True,119,S023006,True,True,False,False,2024-11-14 14:41:10.107089,2024-11-14 14:41:10.157219
canette,True,75,S018004,True,False,False,False,2024-11-14 14:41:10.167978,2024-11-14 14:41:10.202880
yaourt,False,57,W018014,True,False,False,False,2024-11-14 14:41:10.214686,2024-11-14 14:41:10.247265
bouteille_b,False,71,W008006,True,True,True,False,2024-11-14 14:41:10.295265,2024-11-14 14:41:10.330112
carton_grand,False,195,B091004,False,False,False,False,2024-11-14 14:41:10.409489,2024-11-14 14:41:10.544610
dechet,False,80,B019036,True,True,False,False,2024-11-14 14:41:10.507608,2024-11-14 14:41:10.548543
carton_petit,False,82,B083011,True,False,False,False,2024-11-14 14:41:10.612572,2024-11-14 14:41:10.643295
journal,False,347,B064071,True,True,True,True,2024-11-14 14:41:10.741231,2024-11-14 14:41:10.744772
carton_petit,False,100,B111025,True,True,False,False,2024-11-14 14:41:10.880388,2024-11-14 14:41:10.908883
tetrapak,False,48,B071003,True,True,False,False,2024-11-14 14:41:10.981850,2024-11-14 14:41:11.012814
canette,True,83,S027003,True,True,False,False,2024-11-14 14:41:11.074883,2024-11-14 14:41:11.106755
dechet,False,74,B026039,True,True,False,False,2024-11-14 14:41:11.209416,2024-11-14 14:41:11.246043
dechet,False,193,B059016,True,True,True,False,2024-11-14 14:41:11.289062,2024-11-14 14:41:11.290520
carton_petit,False,53,B119016,True,False,False,False,2024-11-14 14:41:11.438000,2024-11-14 14:41:11.497918
conserve,True,89,S028005,True,True,True,False,2024-11-14 14:41:11.531686,2024-11-14 14:41:11.581060
dechet,False,62,W030017,True,False,False,False,2024-11-14 14:41:11.618479,2024-11-14 14:41:11.648977
dechet,False,78,B020034,True,True,False,False,2024-11-14 14:41:11.718907,2024-11-14 14:41:11.771371
dechet,False,79,T032037,True,False,False,False,2024-11-14 14:41:11.801351,2024-11-14 14:41:11.820866
dechet,False,57,T070067,True,True,False,False,2024-11-14 14:41:11.978385,2024-11-14 14:41:12.007944
dechet,False,217,B068014,True,True,True,True,2024-11-14 14:41:12.069335,2024-11-14 14:41:12.071481
bouteille_t,False,67,T049042,True,True,True,True,2024-11-14 14:41:12.167643,2024-11-14 14:41:12.202925
canette,True,84,S029006,True,True,False,False,2024-11-14 14:41:12.267366,2024-11-14 14:41:12.297147
yaourt,False,47,W043010,False,False,False,False,2024-11-14 14:41:12.377130,2024-11-14 14:41:12.406267
journal,False,304,B051053,False,False,False,False,2024-11-14 14:41:12.480417,2024-11-14 14:41:12.598085
dechet,False,5,B115016,True,True,True,True,2024-11-14 14:41:12.633824,2024-11-14 14:41:12.692427
canette,True,64,S034003,True,True,False,False,2024-11-14 14:41:12.748833,2024-11-14 14:41:12.796529
canette,True,112,S021006,True,True,False,False,2024-11-14 14:41:12.818945,2024-11-14 14:41:12.845918
bouteille_b,False,186,W014006,True,True,False,False,2024-11-14 14:41:12.961842,2024-11-14 14:41:12.999607
carton_grand,False,157,B127008,False,False,False,False,2024-11-14 14:41:13.121255,2024-11-14 14:41:13.245988
bouteille_b,False,68,W009003,True,True,True,True,2024-11-14 14:41:13.219143,2024-11-14 14:41:13.249350
carton_petit,False,72,B058013,True,True,False,False,2024-11-14 14:41:13.292874,2024-11-14 14:41:13.327706
tetrapak,False,65,B073008,True,True,False,False,2024-11-14 14:41:13.397405,2024-11-14 14:41:13.425449
canette,True,72,S016005,True,True,False,False,2024-11-14 14:41:13.453562,2024-11-14 14:41:13.481578
dechet,False,61,W044017,True,False,False,False,2024-11-14 14:41:13.579398,2024-11-14 14:41:13.609104
dechet,False,234,B061018,False,False,False,False,2024-11-14 14:41:13.661338,2024-11-14 14:41:13.732668
bouteille_b,False,49,W012005,True,True,False,False,2024-11-14 14:41:13.785573,2024-11-14 14:41:13.859810
journal,False,404,B061040,True,True,True,False,2024-11-14 14:41:13.909037,2024-11-14 14:41:13.915062
dechet,False,32,W030017,True,False,False,False,2024-11-14 14:41:13.995935,2024-11-14 14:41:14.021600
journal,False,9,B022043,True,True,True,True,2024-11-14 14:41:14.041650,2024-11-14 14:41:14.192333
carton_petit,False,78,B133016,True,True,False,False,2024-11-14 14:41:14.207962,2024-11-14 14:41:14.272447
dechet,False,85,B016053,True,True,False,False,2024-11-14 14:41:14.288872,2024-11-14 14:41:14.331621
journal,False,12,B039059,True,True,True,True,2024-11-14 14:41:14.368630,2024-11-14 14:41:14.510663
canette,True,111,S032005,True,False,False,False,2024-11-14 14:41:14.475554,2024-11-14 14:41:14.514922
dechet,False,125,B018031,True,True,False,False,2024-11-14 14:41:14.565645,2024-11-14 14:41:14.609461
canette,True,71,S027003,True,True,False,False,2024-11-14 14:41:14.658576,2024-11-14 14:41:14.683464
tetrapak,False,51,B074015,True,True,False,False,2024-11-14 14:41:14.764986,2024-11-14 14:41:14.788023
dechet,False,3,B067013,True,True,True,False,2024-11-14 14:41:14.854751,2024-11-14 14:41:14.957695
canette,True,67,S016002,True,True,False,False,2024-11-14 14:41:14.909008,2024-11-14 14:41:14.940160
tetrapak,False,66,B050008,True,False,False,False,2024-11-14 14:41:14.981041,2024-11-14 14:41:15.010344
dechet,False,82,W028012,True,False,False,False,2024-11-14 14:41:15.063015,2024-11-14 14:41:15.092872
dechet,False,85,T030129,True,True,False,False,2024-11-14 14:41:15.139246,2024-11-14 14:41:15.180935
canette,True,69,S007005,True,True,True,False,2024-11-14 14:41:15.164081,2024-11-14 14:41:15.192766
dechet,False,90,T067094,True,False,False,False,2024-11-14 14:41:15.333364,2024-11-14 14:41:15.375986
bouteille_b,False,58,W012003,True,True,True,False,2024-11-14 14:41:15.456245,2024-11-14 14:41:15.486177
bouteille_t,False,79,T039055,True,False,False,False,2024-11-14 14:41:15.535455,2024-11-14 14:41:15.641125
journal,False,453,B051045,False,False,False,False,2024-11-14 14:41:15.638689,2024-11-14 14:41:15.754375
dechet,False,60,T035121,True,True,False,False,2024-11-14 14:41:15.727795,2024-11-14 14:41:15.764916
dechet,False,5,B037009,True,True,True,True,2024-11-14 14:41:15.777393,2024-11-14 14:41:15.873331
yaourt,False,71,W037008,True,False,False,False,2024-11-14 14:41:15.871455,2024-11-14 14:41:15.909933
tetrapak,False,77,B064009,True,False,False,False,2024-11-14 14:41:15.963287,2024-11-14 14:41:15.981226
canette,True,79,S033006,True,True,False,False,2024-11-14 14:41:16.074157,2024-11-14 14:41:16.117776
carton_petit,False,68,B079010,True,True,False,False,2024-11-14 14:41:16.173842,2024-11-14 14:41:16.215928
conserve,True,107,S038004,True,True,True,False,2024-11-14 14:41:16.302861,2024-11-14 14:41:16.359549
canette,True,58,S035007,True,True,False,False,2024-11-14 14:41:16.420962,2024-11-14 14:41:16.457725
bouteille_t,False,160,T022093,True,False,False,False,2024-11-14 14:41:16.466758,2024-11-14 14:41:16.484928
dechet,False,55,W027024,False,False,False,False,2024-11-14 14:41:16.544874,2024-11-14 14:41:16.568418
dechet,False,55,W047011,True,False,False,False,2024-11-14 14:41:16.681240,2024-11-14 14:41:16.710158
yaourt,False,85,W041011,True,True,False,False,2024-11-14 14:41:16.783808,2024-11-14 14:41:16.808954
tetrapak,False,43,B087008,True,True,False,False,2024-11-14 14:41:16.908433,2024-11-14 14:41:16.936309
bouteille_t,False,71,T045086,True,False,False,False,2024-11-14 14:41:17.000420,2024-11-14 14:41:17.081732
conserve,True,78,S010007,True,True,False,False,2024-11-14 14:41:17.034193,2024-11-14 14:41:17.072178
dechet,False,63,W042009,True,True,False,False,2024-11-14 14:41:17.155021,2024-11-14 14:41:17.185728
bouteille_t,False,61,T033114,True,True,False,False,2024-11-14 14:41:17.222042,2024-11-14 14:41:17.306942
yaourt,False,60,W030004,True,False,False,False,2024-11-14 14:41:17.298466,2024-11-14 14:41:17.323878
tetrapak,False,61,B085005,True,False,False,False,2024-11-14 14:41:17.421071,2024-11-14 14:41:17.453404
canette,True,56,S029004,True,True,False,False,2024-11-14 14:41:17.520043,2024-11-14 14:41:17.540259
dechet,False,69,W028010,False,False,False,False,2024-11-14 14:41:17.600415,2024-11-14 14:41:17.630888
carton_grand,False,276,B088015,True,True,True,True,2024-11-14 14:41:17.711214,2024-11-14 14:41:17.712960
carton_grand,False,222,B043019,True,True,True,True,2024-11-14 14:41:17.765385,2024-11-14 14:41:17.767873
dechet,False,75,B016058,True,True,True,False,2024-11-14 14:41:17.848345,2024-11-14 14:41:17.897544
tetrapak,False,64,B078013,True,False,False,False,2024-11-14 14:41:17.960655,2024-11-14 14:41:17.986357
carton_petit,False,104,B088011,True,True,False,False,2024-11-14 14:41:18.070725,2024-11-14 14:41:18.115550
tetrapak,False,50,B107012,True,True,False,False,2024-11-14 14:41:18.224930,2024-11-14 14:41:18.253003
bouteille_b,False,181,W010006,True,False,False,False,2024-11-14 14:41:18.332517,2024-11-14 14:41:18.363194
yaourt,False,51,W044008,True,False,False,False,2024-11-14 14:41:18.443219,2024-11-14 14:41:18.471107
tetrapak,False,48,B074007,True,False,False,False,2024-11-14 14:41:18.549005,2024-11-14 14:41:18.572967
dechet,False,3,B070012,True,True,True,True,2024-11-14 14:41:18.643566,2024-11-14 14:41:18.784429
journal,False,360,B057022,True,True,True,True,2024-11-14 14:41:18.758911,2024-11-14 14:41:18.764608
canette,True,97,S031005,True,False,False,False,2024-11-14 14:41:18.864582,2024-11-14 14:41:18.884599
dechet,False,80,W046016,True,False,False,False,2024-11-14 14:41:18.998532,2024-11-14 14:41:19.024970
journal,False,268,B068032,False,False,False,False,2024-11-14 14:41:19.136376,2024-11-14 14:41:19.256751
journal,False,361,B046057,False,False,False,False,2024-11-14 14:41:19.229210,2024-11-14 14:41:19.362526
journal,False,237,B055019,True,True,True,True,2024-11-14 14:41:19.339660,2024-11-14 14:41:19.344223
journal,False,199,B066069,True,True,True,True,2024-11-14 14:41:19.472219,2024-11-14 14:41:19.475271
dechet,False,5,B064009,True,True,True,True,2024-11-14 14:41:19.558283,2024-11-14 14:41:19.620912
bouteille_b,False,59,W004005,True,True,True,False,2024-11-14 14:41:19.607737,2024-11-14 14:41:19.642824
dechet,False,65,B018059,True,True,False,False,2024-11-14 14:41:19.700933,2024-11-14 14:41:19.744380
dechet,False,86,T047101,True,True,False,False,2024-11-14 14:41:19.819885,2024-11-14 14:41:19.857147
conserve,True,82,S025007,True,True,True,False,2024-11-14 14:41:19.904622,2024-11-14 14:41:19.945633
tetrapak,False,61,B067006,True,True,False,False,2024-11-14 14:41:20.000893,2024-11-14 14:41:20.027970
carton_petit,False,84,B072022,True,True,False,False,2024-11-14 14:41:20.091378,2024-11-14 14:41:20.128428
bouteille_b,False,65,W010003,True,True,True,False,2024-11-14 14:41:20.196439,2024-11-14 14:41:20.228045
bouteille_t,False,55,T027064,True,True,True,False,2024-11-14 14:41:20.251615,2024-11-14 14:41:20.281068
bouteille_b,False,175,W012004,True,False,False,False,2024-11-14 14:41:20.373390,2024-11-14 14:41:20.404772
dechet,False,229,B128020,False,False,False,False,2024-11-14 14:41:20.544803,2024-11-14 14:41:20.624842
tetrapak,False,46,B057005,True,False,False,False,2024-11-14 14:41:20.626735,2024-11-14 14:41:20.662920
dechet,False,76,B011048,True,True,False,False,2024-11-14 14:41:20.684495,2024-11-14 14:41:20.718089
bouteille_b,False,147,W010004,True,True,False,False,2024-11-14 14:41:20.785928,2024-11-14 14:41:20.820333
bouteille_t,False,142,T046090,True,False,False,False,2024-11-14 14:41:20.879431,2024-11-14 14:41:20.907800
bouteille_t,False,64,T041068,True,True,True,False,2024-11-14 14:41:20.962372,2024-11-14 14:41:20.984061
dechet,False,68,T018047,True,True,False,False,2024-11-14 14:41:21.009758,2024-11-14 14:41:21.048222
journal,False,390,B064059,True,True,True,False,2024-11-14 14:41:21.139541,2024-11-14 14:41:21.143228
dechet,False,101,B026058,True,True,False,False,2024-11-14 14:41:21.273040,2024-11-14 14:41:21.303105
bouteille_b,False,79,W008005,True,True,True,False,2024-11-14 14:41:21.362407,2024-11-14 14:41:21.382147
conserve,True,100,S034004,True,True,True,False,2024-11-14 14:41:21.478199,2024-11-14 14:41:21.504994
dechet,False,105,B017057,True,True,False,False,2024-11-14 14:41:21.564738,2024-11-14 14:41:21.614816
tetrapak,False,49,B066011,True,False,False,False,2024-11-14 14:41:21.660400,2024-11-14 14:41:21.691696
carton_grand,False,253,B054017,False,False,False,False,2024-11-14 14:41:21.728752,2024-11-14 14:41:21.897846
canette,True,60,S026004,True,True,False,False,2024-11-14 14:41:21.815610,2024-11-14 14:41:21.848911
yaourt,False,52,W039008,True,False,False,False,2024-11-14 14:41:21.915586,2024-11-14 14:41:21.943354
journal,False,374,B070074,False,False,False,False,2024-11-14 14:41:22.057002,2024-11-14 14:41:22.203020
bouteille_b,False,115,W013007,True,True,False,False,2024-11-14 14:41:22.194959,2024-11-14 14:41:22.216606
tetrapak,False,77,B075006,True,False,False,False,2024-11-14 14:41:22.302610,2024-11-14 14:41:22.338720
canette,True,110,S026006,True,True,False,False,2024-11-14 14:41:22.389578,2024-11-14 14:41:22.416492
dechet,False,71,W026010,True,False,False,False,2024-11-14 14:41:22.466580,2024-11-14 14:41:22.497916
carton_grand,False,295,B071017,False,False,False,False,2024-11-14 14:41:22.555371,2024-11-14 14:41:22.660638
bouteille_t,False,169,T055070,True,True,False,False,2024-11-14 14:41:22.666608,2024-11-14 14:41:22.688564
bouteille_t,False,51,T044052,True,True,True,True,2024-11-14 14:41:22.755651,2024-11-14 14:41:22.784047
canette,True,77,S046004,True,True,False,False,2024-11-14 14:41:22.910305,2024-11-14 14:41:22.951324
yaourt,False,69,W016013,True,False,False,False,2024-11-14 14:41:22.952462,2024-11-14 14:41:22.974940
journal,False,294,B045038,True,True,True,True,2024-11-14 14:41:23.043833,2024-11-14 14:41:23.048664
bouteille_b,False,158,W010006,True,False,False,False,2024-11-14 14:41:23.153178,2024-11-14 14:41:23.184361
conserve,True,89,S014003,True,True,False,False,2024-11-14 14:41:23.200009,2024-11-14 14:41:23.240367
bouteille_t,False,74,T081051,True,False,False,False,2024-11-14 14:41:23.362923,2024-11-14 14:41:23.448711
dechet,False,54,W030010,True,False,False,False,2024-11-14 14:41:23.449389,2024-11-14 14:41:23.478584
canette,True,68,S026008,True,True,False,False,2024-11-14 14:41:23.537873,2024-11-14 14:41:23.559094
carton_grand,False,237,B043008,True,True,True,True,2024-11-14 14:41:23.591916,2024-11-14 14:41:23.593895
conserve,True,114,S019005,True,True,False,False,2024-11-14 14:41:23.658491,2024-11-14 14:41:23.697379
yaourt,False,55,W024003,False,False,False,False,2024-11-14 14:41:23.719446,2024-11-14 14:41:23.740751
dechet,False,83,T042099,True,True,False,False,2024-11-14 14:41:23.824858,2024-11-14 14:41:23.858144
bouteille_t,False,58,T041081,True,True,True,False,2024-11-14 14:41:23.908846,2024-11-14 14:41:23.942305
dechet,False,4,B085007,True,True,True,True,2024-11-14 14:41:24.023052,2024-11-14 14:41:24.106399
canette,True,72,S020003,True,False,False,False,2024-11-14 14:41:24.090407,2024-11-14 14:41:24.148565
carton_petit,False,91,B045015,True,True,False,False,2024-11-14 14:41:24.146996,2024-11-14 14:41:24.187056
carton_petit,False,79,B071026,True,True,False,False,2024-11-14 14:41:24.236277,2024-11-14 14:41:24.268195
bouteille_t,False,48,T059113,True,True,False,False,2024-11-14 14:41:24.355780,2024-11-14 14:41:24.437523
carton_grand,False,189,B119010,False,False,False,False,2024-11-14 14:41:24.505631,2024-11-14 14:41:24.652812
bouteille_t,False,180,T030049,True,False,False,False,2024-11-14 14:41:24.566663,2024-11-14 14:41:24.601526
conserve,True,82,S034005,True,True,False,False,2024-11-14 14:41:24.682112,2024-11-14 14:41:24.728786
tetrapak,False,71,B082013,True,False,False,False,2024-11-14 14:41:24.800285,2024-11-14 14:41:24.818195
conserve,True,57,S034005,True,True,False,False,2024-11-14 14:41:24.916067,2024-11-14 14:41:24.943949
bouteille_b,False,70,W010006,True,False,False,False,2024-11-14 14:41:25.016841,2024-11-14 14:41:25.095976
carton_grand,False,240,B068015,False,False,False,False,2024-11-14 14:41:25.102184,2024-11-14 14:41:25.191693
dechet,False,89,T029075,True,True,False,False,2024-11-14 14:41:25.176497,2024-11-14 14:41:25.211913
carton_grand,False,5,B105016,True,True,True,True,2024-11-14 14:41:25.308829,2024-11-14 14:41:25.403840
tetrapak,False,53,B074015,True,False,False,False,2024-11-14 14:41:25.415421,2024-11-14 14:41:25.429453
