original_title,overview,year,genre
The Fortunes and Misfortunes of Moll Flanders,"Dans sa cellule sale de la prison de Newgate, Moll Flandre, surnommée «la femme la plus méchante d'Angleterre» raconte son histoire.Née dans la prison, après que sa mère ait été transportée, Moll est élevé par le bien-être maire de Colchester et sa femme, dont les deux fils la soient convaincus.Elle aime les relations sexuelles avec le beau Rowland, qui lui enseigne que l'argent parle, mais, réalisant qu'il ne veut que comme une maîtresse, elle épouse son frère plus terne Robin, qui meurt commodément après cinq ans, la laissant riche.Elle se rend à Londres, rencontrant brièvement l'autoroute Jemmy Seagrove, et épouse le drapier Parvenu Daniel Dawkins, mais il a des dettes énormes et doit fuir en France, laissant Moll seul et pauvre.Moll rencontre le beau jeune capitaine américain de la mer Lemuel Golightly, qui l'amère et l'emmène en Virginie et un bon style de vie, ainsi que sa mère.Ils ont deux enfants et sont avec plaisir jusqu'à ce que Moll découvre que sa belle-mère est aussi sa mère biologique.Elle a épousé son propre frère.Elle revient en Angleterre et se présente comme riche ...",1996,Romance
The Return of a Man Called Horse,"Lord John Morgan est revenu à la vie civilisée en Angleterre, mais constate qu'il n'a que du dédain pour cette vie.En désirant d'embrasser la simplicité de l'Occident américain-ouest-et la tribu des mains jaunes qu'il a laissée derrière lui, Morgan ne revient sur la terre de la tribu pour découvrir qu'ils ont été décimés par des commerçants de fourrure impitoyables et soutenus par le gouvernement.Ils doivent retrouver leur terre, dirigée par Horse.",1976,Western
The Last Straight Man,"Lewis est un homosexuel fermé organisant une fête de célibataire pour son meilleur ami hétéro et Secret Crush, Cooper.Après une nuit de sexe ivre ensemble, les deux hommes décident de se rencontrer dans la même suite d'hôtel le même soir chaque année pour se connecter et rattraper.Au cours de douze ans, nous voyons quatre nuits supplémentaires qui décrivent comment les deux hommes se développent et comment leur amitié change.",2014,Romance
London Spy,"Une romance entre un génie du code Mi6 et un homme ordinaire promet le bonheur.Mais la tragédie frappe lorsque l'espion décède dans des circonstances suspectes, forçant son amant à poursuivre la vérité derrière sa mort.",2015,Romance
The Baron of Arizona,Le gouvernement américain reconnaît les subventions foncières faites lorsque l'Occident était sous domination espagnole.Cela inspire James Reavis à forger une chaîne de preuves historiques qui fait d'une fille fondante la baronne de l'Arizona.Reavis épouse la fille et fait pression sur tout son territoire de l'Arizona.,1950,Western
#Pellichoopulu,"Raj Kandukuri et Big Ben Films en association avec Vinoothna Geetha présentent #Pellichoopulu, une comédie romantique Telugu sur deux individus Prashanth et Chitra qui se rencontrent dans un `` Pellichoopulu ''.L'histoire parle d'un couple moderne ancré par leurs racines traditionnelles.Lorsque le destin fait des ravages dans leur vie, ils sont partis dans un voyage pour trouver leurs rêves, faire face à leurs peurs et finalement trouver le véritable amour.Réalisé par Tharun Bhascker d'Anukokunda et Sainma Fame, le film met en vedette Vijay Deverakonda et Ritu Varma.",2016,Romance
Anche per Django le carogne hanno un prezzo,"Les frères Cortez volent une banque et fuient au-delà de la frontière mexicaine.Sur leur sentier se trouvent diverses personnes, chacune pour une raison différente: le shérif Fulton est envoyé par la banque volée pour récupérer l'argent;Django, un chasseur de tête, est après leur récompense;Pickwick est après une selle volée par les frères Cortez;Pedro et Dolores, propriétaires de salon, aimeraient également avoir le butin.",1971,Western
Sulemani Keeda,"Dans cette comédie Bro-imantique Slacker, les partenaires d'écriture Dulal et Mainak rêvent de secouer l'industrie cinématographique de Bollywood avec leur scénario «Sulemani Keeda» (argot de rue hindi pour «Pain in the Ass»).Lorsqu'ils ne sont pas rejetés par des producteurs qui refusent de lire leur script, ils se cachent autour des librairies et des claquements de poésie qui frappent sans vergogne les filles.Ils trouvent un peu d'espoir lorsque le Gonzo Kapoor, le fils d'un célèbre producteur de films, les engage à écrire un film d'art House, le fils d'un célèbre producteur de films B, les embauche pour écrire un film d'art House a été présenté comme «Tarkovsky avec des orgies» pour ses débuts de réalisateur.Tout semble bien jusqu'à ce que Dulal rencontre Ruma, un beau photographe qui lui fait remettre en question son choix de vendre.",2014,Romance
Принцесса на горошине,"Dans l'un des royaumes, il y avait du temps pour le prince de se marier, mais la mariée devrait être une vraie princesse.Un panneau a été mis sur les portes: «Une princesse voulait».Mais en réponse, il ne semblait qu'une petite fille, humide aux os après la pluie et ne ressemblant pas à la noblesse.Le prince a donc été obligé de s'aventurer sur d'autres terres à la recherche d'un match approprié.Désormais, les aventures du prince se déroulent.Dans un royaume, il a rencontré un gros roi, dans un autre - un roi hospitalier.Il a également visité le Royaume des Arts.Il a vu suffisamment de princesses, belles et intelligentes.Et pourtant, la vraie princesse, la seule à laquelle il aspirait, s'est avérée être la fille qui avait frappé à leur porte pendant une tempête de pluie…",1976,Romance
Lucky Luke: La Ballade des Dalton,"L'histoire s'ouvre dans un salon occidental, où un jeune musicien avec un banjo commence à raconter une histoire de Lucky Luke et de ses ennemis assermentés les Dalton Brothers: Joe, William, Jack et Averell.Luke a, une fois de plus, comme il l'a fait à plusieurs reprises auparavant, a jeté les quatre hors-la-loi en prison.La prison est également la demeure d'un chien de garde nommé Rin Tin Can (Rantanplan dans la version originale de la langue française).",1978,Western
Body Language,"Un avocat, défendant un patron de la mafia, tombe amoureux d'une belle femme avec une triste histoire à raconter.Elle dit qu'elle est maltraitée par son mari brutal et qu'elle a besoin de son aide.",1995,Romance
The Proud Ones,"Robert Ryan joue un shérif vieillissant responsable de la loi et de l'ordre dans une ville de bétail frontière.Virginia Mayo joue sa fiancée.Comme si la gestion des drovers de bétail sauvages ne suffisait pas, un opérateur de casino tordue du passé de Ryan vient en ville.Une bagarre précoce dans le casino laisse à Ryan des problèmes de vision qui interfèrent avec ses fonctions.Jeffrey Hunter, qui est venu en ville avec un caisse, rencontre Ryan, qui a tué le père de Hunter lorsque Hunter était jeune.Les sentiments d'animosité changent bientôt alors que Hunter commence à sentir que Ryan dit la vérité sur son père.Ce qui suit est une intrigue qui continue de s'épaissir à la confrontation inévitable.",1956,Western
Kid Blue,"Bickford Waner, un jeune homme apparemment naïf de Fort Worth, arrive dans la minuscule ville de Dime Town Town of Dime et prend une variété d'emplois subalternes.Il s'est lié d'amitié avec Reese Ford et son épouse Molly, mais avant longtemps, Molly a séduit Bickford.Ce n'est qu'avec l'arrivée de l'ancienne petite amie de Bickford, Janet Conforto, il a révélé que Bickford est en fait le notoire Blue Robber Kid Blue.Humilié par un scandale résultant de sa liaison avec la femme de son ami, Bickford renonce à aller directement et complote un crime.",1973,Western
Moonlight in Vermont,"Après que le courtier immobilier haut de gamme à New York au rythme de New York Fiona Rangely (Lacey Chabert) soit jeté par son petit ami, elle s'échappe au pittoresque Vermont Inn de sa famille pendant quelques jours pour ralentir et évaluer sa vie.Lorsque son ex-petit ami Nate se présente à l'auberge avec une toute nouvelle petite amie, Fiona élabore rapidement un plan pour le reconquérir: faites comme si le beau chef de la tête très décontracté Derek (Carlo Marks) est son nouveau petit ami!À la grande surprise de Derek - et à Fiona elle-même - en faisant semblant d'être amoureux, elle se rend compte qu'elle a été jetée une balle courbe: parfois les meilleures choses de la vie valent la peine d'être attendues.",2017,Romance
Пять вечеров,Tamara et Sasha ont été séparés pendant la guerre.Maintenant (1957) Sasha visite Moscou pendant cinq jours et reconnaît par hasard la maison où Tamara vivait.Elle y vit toujours avec son neveu Slava.,1978,Romance
Odia il prossimo tuo,"La recherche de Ken Dakota pour le meurtrier de son frère, tué par Bandit Gary Stevens, à la demande du propriétaire foncier Chris Malone.Dakota tente de traduire en justice les hommes responsables de la mort de ses frères.",1968,Western
Song of the Saddle,"Frank Sr. vend ses fournitures à Hook, mais Hook a ensuite les garçons de Bannion Bushwhack son wagon pour récupérer l'argent.Frank est assassiné, mais Junior s'enfuit.Il revient 10 ans plus tard pour régler le score en tant que cow-boy chantant.Il constate que Hook fait toujours ses actes sales sur les gens sans méfiance.En cours de route, Frank rencontre la charmante Jen, qui est sortie dans le même train de wagons 10 ans auparavant.",1936,Romance
ആനന്ദം,Aanandam est un film musical indien du campus en malayalam en 2016 écrit et réalisé par Ganesh Raj lors de ses débuts de réalisateur.Vineeth Sreenivasan produit le film sous la bannière de l'habitude de la vie avec Vinod Shornur sous Cast N Crew.,2016,Romance
Jane Wants a Boyfriend,Une jeune femme avec Asperger essaie de trouver son premier petit ami avec un peu d'aide de sa sœur aînée.,2015,Romance
Tashan,"Jeetendra Kumar Makwana est employé à temps plein dans un centre d'appels et travaille à temps partiel à enseigner l'anglais.Il est recruté par une jolie jeune femme, Pooja, pour lui enseigner le patron hinglish, Bhaiyaji, anglais.Jeetendra accepte de le faire, tombe amoureux de Pooja et se joigne à elle avec elle pour voler un sac contenant 25 crores de roupies en espèces.Il découvrira bientôt que Bhaiyaji est un voyou et un extorqueur connu de la police sous le nom de Lakhan Singh.",2008,Romance
Klondike Kate,Un jeune homme en Alaska se retrouve accusé de meurtre et doit se battre pour effacer son nom.,1943,Western
Clash of the Wolves,"Un incendie dans les montagnes conduit un pack de loups dans le désert voisin où ils terrorisent les résidents locaux.Le leader du Wolf Pack est Lobo, en fait une demi-maître (Rin Tin Tin).Lorsque le pack est découvert chassant un troupeau de vaches, un groupe fait la poursuite.Lobo quitte son sac pour mener le groupe.Il est blessé et trouvé par un prospecteur local, Dave Weston (Charles Farrell).Le prospecteur infirme lobo à la santé et les deux deviennent des amis proches.Pendant ce temps, Weston a fait une découverte de Borax dans la région.Sa petite amie May Barstowe (June Marlowe), fille d'un riche éleveur, est satisfaite.Cependant, le chimiste local, Borax Horton (Pat Hartigan), en fait un cavalier de réclamation, prévoit de voler la réclamation.",1925,Western
Человек с бульвара Капуцинов,M. Jonny arrive d'abord dans le Far West pour présenter l'art du cinématographe.,1987,Western
Love Finds You in Valentine,"Kennedy Blaine, une fille californienne, hérite d'un ranch dans la petite ville de Valentin au Nebraska.Avant de vendre la propriété, elle décide de passer l'été dans sa maison et d'en savoir plus sur sa famille.",2016,Romance
Odio per odio,"Après avoir été capturé lors d'un vol de banque, un cow-boy est envoyé dans une prison située dans un marécage, où il contracte le paludisme.Il s'échappe bientôt et, avec l'aide d'un mexicain, se propose de retrouver son partenaire, qui s'est échappé du vol de banque avec tout l'argent.",1967,Western
Vamos a matar Sartana,"L'argile du Nebraska tue un gang de hors-la-loi de légitime défense mais est emprisonné pour une enquête plus approfondie sur le crime.Pendant sa prison, il rencontre un hors-la-loi nommé «Crazy Person» et s'échappe avec lui lorsque son gang emporte un jailbreak.",1971,Western
Big Muddy,"Martha Barlow, un hors-la-loi moderne, doit concilier son passé sombre après que son fils adolescent a commis un crime horrible.",2014,Western
"Ride, Vaquero!",Les éleveurs du Nouveau-Mexique doivent affronter les Indiens et les bandits.,1953,Western
La strada per Forte Alamo,"Un cavalier solitaire rencontre un soldat mourant, victime d'une attaque indienne, qui lui donne un document autorisant le paiement de 150 000 $ à l'armée américaine.Le cavalier rassemble des collègues qui se déguisent en soldats et qui emmènent le journal dans une banque.Ils obtiennent l'argent mais une fusillade se produit, une vieille femme est tuée et le gang se divise acrimonieusement.Plus tard, certains membres du gang rencontrent de vrais soldats de la cavalerie américains et, ensemble, ils doivent combattre de nouvelles attaques indiennes.",1964,Western
When You're in Love,"Quand vous êtes amoureux est un film musical de 1937 avec Grace Moore, Cary Grant et Thomas Mitchell.Moore chante ""Minnie le Moocher"" dans une scène.Elle chante également la merveilleuse classique d'Ernesto Lecuono ""Siboney"" (bien que son espagnol ne soit pas la perfection) bave par Cary Grant",1937,Romance
The Rare Breed,"Lorsque son mari décède en route vers l'Amérique, Martha Price et sa fille Hilary doivent mener à bien son rêve: l'introduction de bovins Hereford dans l'Ouest américain.Ils enrôlez Sam ""Bulldog"" Burnett dans leurs efforts pour transporter leur seul Bull, un Hereford nommé Vindicator, vers un éleveur au Texas, mais le sentier est chargé de danger et même Burnett doute que le potentiel de survie de cette ""rare"" rare ""de bovins.",1966,Western
The Burrowers,"Nous sommes en 1879 dans les Territoires du Dakota, une bande d'hommes qui ont décidé de trouver et de récupérer une famille de colons qui ont mystérieusement disparu de leur domicile.S'attendant à ce que les délinquants soient une bande d'indigènes féroces, mais ils découvrent bientôt que le vrai ennemi les traque d'en bas.",2008,Western
The Battle at Elderbush Gulch,"Deux jeunes filles sont renvoyées pour vivre avec leur oncle, qui déclenche une chaîne d'événements, ce qui entraîne une attaque indienne contre la ville",1913,Western
The Gambler Returns: The Luck Of The Draw,"Hawkes, Jones et Cassidy sont en route vers le plus grand jeu de poker de l'histoire.Mais quelques gens veulent les voir se plier avant même qu'ils y arrivent.",1991,Western
Mirch,"Maanav est un cinéaste en difficulté qui ne fera pas de compromis sur le scénario qu'il a écrit.Sa petite amie Ruchi, une éditeur de cinéma à succès, lui organise de rencontrer le producteur de films Nitin, qui n'est pas très convaincu du scénario de Maanav.Maanav suggère ensuite quatre histoires sur l'infidélité, tissées ensemble par une histoire commune.Le film lui-même fait écho à cette structure, avec quatre histoires se mêlant au récit principal",2010,Romance
Valentine Ever After,"Les filles de Big City Julia et son meilleur ami Sydney font un voyage dans un ranch de mec dans le Wyoming pour une escapade de week-end amusante, mais après une bagarre au bar local, les filles sont condamnées pour rester en ville et effectuer un service communautaire.En cours de route, Julia trouve l'amour et sa véritable vocation dans la vie.",2016,Romance
Giù la testa... hombre,"Macho Callaghan est lieutenant dans les gardes fédéraux et son travail consiste à capturer Butch Cassidy, Ironhead et leur bande de hors-la-loi.En contact avec Ironhead, Macho trouve un moyen d'être embauché par les hors-la-loi.Mais lorsque les deux dirigeants se disputent et décident de se séparer, Macho parvient à convaincre Ironhead d'attaquer Butch Cassidy.",1971,Western
Touch and Go,"Une star de hockey sur glace est abordée par un gang de jeunes qui tente de le voler;Après les poursuivre, il attrape le plus jeune membre et lui donne un retour à la maison, où il rencontre la mère du garçon.Un complot romantique s'ensuit, ainsi qu'une confrontation avec les chefs de gang.",1986,Romance
Forsaken,"John Henry revient dans sa ville natale dans l'espoir de réparer sa relation avec son père éloigné, mais un gang local terrorise la ville.John Henry est le seul à pouvoir les arrêter, mais il a abandonné à la fois son arme et sa réputation en tant que tueur de tirages rapides intrépide.",2015,Western
Ok Jaanu,Ok Jaanu est un prochain film dramatique romantique indien réalisé par Shaad Ali et produit par Karan Johar sous sa bannière Dharma Productions.Il s'agit d'un remake officiel du film tamoul de Mani Ratnam Ok Kanmani.,2017,Romance
Son of Paleface,"Dans cette suite de ""The Paleface"", Peter Potter Jr. et Mike 'The Torch' Delroy reviennent en tant que personnages principaux.Junior Potter revient pour revendiquer l'or de son père, qui n'est nulle part à trouver;Mike 'The Torch' Delroy est la tête succulente d'un gang de voleurs;Et Roy Barton est un maréchal fédéral chaud sur le sentier de Mike.",1952,Western
Four Mothers,"Adam Lemp et ses quatre filles (Ann, Thea, Kay et Emma) se retrouvent dans des crises financières et émotionnelles.Le mari de Thea, Ben, a promu un développement de logements en Floride à tout le monde en ville, et lorsqu'un ouragan anéantit les investissements de tous leurs amis, les LEMP décident de rembourser les pertes, même si cela leur coûte leur propre maison.Le mari de Kay, Clint, est tellement consacré à ses recherches médicales qu'il risque de perdre Kay.Et le mari d'Ann, Felix, rencontrant Kay lors d'un voyage à l'extérieur de la ville, trouve sa solitude mettant son mariage en danger.Pendant ce temps, à la suite de l'antipathie des citadins due à la catastrophe d'investissement, Adam perd sa position bien-aimée avec la société musicale.",1941,Romance
You Get Me,"Après avoir discuté avec sa petite amie, Ali, Tyler atterrit dans les bras de la nouvelle fille sexy, Holly.Le lendemain matin, il constate que non seulement Ali accepte de le ramener, mais Holly est une nouvelle élève de leur école et est mise en mort sur son nouvel homme.",2017,Romance
Dead 7,"Un groupe de pistolets à ragtag tente de se frayer un chemin dans un monde post-apocalyptique.La touche à ce monde est qu'elle n'est tout simplement pas stérile et dangereuse, elle est également remplie de zombies mangeurs de chair.Les Gunslingers se retrouveront bloqués dans une ville et forcés de faire un choix pour sauver les citoyens de la ville ou se sauver.",2016,Western
In the Room,"Ce film sensible et sensuel rassemble plusieurs récits couvrant plusieurs décennies, tous transpirant dans la même pièce du même hôtel singapourien - et tous impliquant du sexe.",2015,Romance
No Man's Land,"Le film commence par une histoire sur la façon dont deux singes se regroupent et coopèrent pour survivre dans la nature, qui est utilisé pour illustrer comment la société humaine se forme.En jetant ses personnages dans un No No Man's Land désolé et inhabité, le film explore la tension entre les instincts animaux de l'homme et leur moi socialement construit.Pan Xiao, un jeune avocat de la classe moyenne joué par Xu Zheng, se rend dans une ville occidentale rurale dans le désert pour gérer le cas d'un braconnier Falcon qui a couru et a tué un policier.Pan gagne l'affaire par un raisonnement sophistiqué, oblige le braconnier à lui donner sa voiture en récompense et commence à rentrer chez lui.Mais à l'insu de Pan, la voiture transporte des faucons volés et peu de temps après, il se heurte à une série d'accidents malchanceux et rencontre des personnages peu recommandables.Après avoir perdu ses lunettes et frappe accidentellement un autre braconnier (Huang Bo de Lost en Thaïlande), Pan est consommé par la peur et la culpabilité, et se lance dans un voyage réel et métaphorique vers la civilisation.",2013,Western
Gunfight at the O.K. Corral,Le législateur Wyatt Earp et Outlaw Doc Holliday forment une alliance improbable qui culmine dans leur participation à la fusillade légendaire de l'O.K.Corral.,1957,Western
Passengers,"Un vaisseau spatial voyageant dans une planète de colonie lointaine et le transport de milliers de personnes a un dysfonctionnement dans ses chambres de sommeil.En conséquence, deux passagers sont éveillés 90 ans plus tôt.",2016,Romance
Brothers O'Toole,"Les frères O'Toole sont des escrocs de l'Est, exceptionnellement bons pour parler de leur chemin dans des situations serrées.Lorsqu'ils montent dans le molybdène, au Colorado, ne soupçonnant pas les richesses sous les rues, ils renversent la ville minière endormie à l'envers pour leur recherche de l'or.Les hijinks à haute enthousiasme s'ensuivent, les frères impliqués dans tout, de l'équipement de jeu volé à un concours ""Belchin ', Cussin' et Spittin '"".",1973,Western
Linda and Abilene,"Au XIXe siècle, les frères et sœurs Abilene et Tod, orphelins dans leur ferme occidentale, sont attirés par les autres, sexuellement.Les puces confuses de Tod dans une ville voisine où il rencontre Linda, une fille de bar locale, et commence une relation sexuelle avec elle, tandis qu'un cow-boy rugueux, nommé Rawhide, agressions sexuellement Abilene conduisant à Tod voulant se venger malgré la méfiance de Linda et la compassion croissante pour Abilene.",1969,Western
Sancharram,"À Sancharram (""The Journey""), Kiran est mortifiée par son désir lesbien croissant de la Delilah effervescente, dans un village indien idyllique où le mariage arrangé est la seule forme de couplage acceptable.",2004,Romance
फ्रीकी अली,"Freaky Ali est un prochain film de rom-com sportif indien 2016 réalisé, produit et écrit par Sohail Khan, coproduit par Nishant Pitti, avec un dialogue de Raaj Shaandilyaa et présenté par Salman Khan.Il est inspiré par Happy Gilmore d'Adam Sandler (1996) et devrait sortir le 9 septembre 2016.",2016,Romance
The Alamo,"Basé sur l'impasse de 1836 entre un groupe d'hommes texan et Tejano, dirigé par Davy Crockett et Jim Bowie, et les forces du dictateur mexicain Santa Anna à l'Alamo à San Antonio, au Texas.",2004,Western
God of Love,Un champion de fléchettes amoureux et de la chute de salon trouve que ses prières sont répondues - littéralement - quand il reçoit mystérieusement une boîte de fléchettes induisant l'amour.,2010,Romance
Bandolero!,"Se faisant passer pour un bourreau, Mace Bishop arrive en ville dans l'intention de libérer un gang de hors-la-loi, y compris son frère, de la potence.Mace exhorte son jeune frère à abandonner le crime.Le shérif poursuit les frères au Mexique.Ils unissent cependant leurs forces contre un groupe de bandits mexicains.",1968,Western
Hot Lead & Cold Feet,"Twin Brothers - l'un rugueux et dur, l'autre d'un milquetoast élevé en ville - rivalise pour la fortune de leur père.",1978,Western
Far and Away,"Un jeune homme (croisière) quitte l'Irlande avec la fille de son propriétaire (Kidman) après quelques problèmes avec son père, et ils rêvent de posséder des terres au grand cadeau de l'Oklahoma CA.1893. Lorsqu'ils arrivent sur le nouveau terrain, ils trouvent des emplois et commencent à économiser de l'argent.L'homme devient un boxeur local à nu et se rend dans la gloire jusqu'à ce qu'il soit battu, puis ses employeurs volent tout l'argent du couple et ils doivent combattre la famine en hiver et essayer de garder leur rêve de posséder une terre en vie.Pendant ce temps, les parents de la femme découvrent où elle est allée et est venue en Amérique pour la retrouver et la reprendre.",1992,Western
Lone Rider,"Bobby Hattaway (Lou Diamond Phillips), un soldat honoré, rentre chez lui après la guerre civile américaine pour trouver le ranch anciennement prospère de son père (Stacy Keach), dangereusement endette).Bobby va maintenant affronter son ancien ami pour prendre le contrôle de Stu.",2008,Western
The Good Old Boys,Un cow-boy vieillissant doit choisir entre son désir de rester libre et les responsabilités de maintenir une famille.,1995,Western
Replica,"Souffrant d'insuffisance rénale, Joe, un vendeur de puces informatiques passe par une greffe d'organe administrée par le Dr Evelyn Tyler qui est biogéticien pour la technologie thérapeutique située à 1 ADN Drive.Joe n'est pas seulement reconnaissant pour son nouveau rein, mais il s'intéresse et obsédé par le Dr Tyler qui lui montre le monde de la biotechnologie miraculeuse, incroyable et merveilleuse.Mais cette panacée apparemment technologique est également remplie d'incertitude, de danger et de dilemme qui change leur vie pour toujours.",2005,Romance
Slow West,"Dans le Old West, un écossais de 17 ans fait équipe avec un mystérieux tireur pour trouver la femme avec qui il est passionné.",2015,Western
Fifty Shades Darker,"Lorsqu'un blessé Christian Gray essaie d'attirer un Ana Steele prudent dans sa vie, elle exige un nouvel arrangement avant qu'elle ne lui donne une autre chance.Alors que les deux commencent à renforcer la confiance et à trouver la stabilité, les personnalités sombres du passé de Christian commencent à encercler le couple, déterminées à détruire leurs espoirs pour un avenir ensemble.",2017,Romance
L'Homme de Chevet,"Muriel est magnifique, libre d'esprit et traversée de lit depuis un horrible accident.Leo est un ex-boxer ivre d'âge moyen.Désespéré pour le travail et non qualifié, il interroge pour Muriel, qui l'embauche pour cuisiner et s'occuper d'elle contre son meilleur jugement.Initialement hors de sa profondeur, Leo gagne lentement la confiance de Muriel.Alors que Muriel lui apprend à lire, il l'oblige à affronter les joies au-delà de sa fenêtre.",2009,Romance
My Little Chickadee,"Situé dans l'ancien américain à l'ouest des années 1880, Mlle Flower Belle Lee (Mae West) est en passe de rendre visite à des parents à l'ouest.Pendant qu'elle voyage sur une diligence, un bandit masqué à cheval tient la scène pour son envoi d'or.Alors qu'il fait son escapade avec l'or, il emmène Flower Belle avec lui.Flower Belle entre alors en ville sous suspicion d'être en collusion avec le bandit.",1940,Western
La collina degli stivali,Les victimes du patron de la ville oppressive Honey se voient offrir de l'aide d'une alliance inhabituelle d'hommers armés et d'interprètes de cirque,1969,Western
Gunfighter's Moon,"Henrickson incarne Frank Morgan, un gunfighter notoire et redouté qui a vécu sa vie en fuite.Son visage et ses yeux révèlent un homme qui a été très durci par cette vie.Nous apprenons rapidement, cependant, qu'il y a encore de la passion à l'intérieur.En recevant un télégramme de Linda, un vieil amoureux (joué par Kay Lenz), demandant sa présence, il abandonne sa femme, monte son cheval et se rend à Linda sans y réfléchir.À son arrivée, il apprend que Linda est maintenant mariée avec le propriétaire du magasin général local.Le seul vestige de son passé qui reste est une fille, que Frank est surpris d'apprendre est la sienne.Écrit par Dave Gan",1997,Western
World Without End,La ville anglaise de Kingsbridge travaille pour survivre alors que le roi mène la nation dans la guerre de cent ans avec la France tandis que l'Europe traite de l'épidémie de la mort noire.,2012,Romance
Tension at Table Rock,"Lorsque le propriétaire d'une station de diligence est tué, un tireur prend sa place.",1956,Western
Wanted,"Giuliano Gemma, élu shérif par sa petite ville, est injustement accusé de meurtre et contraint de fuir.L'homme derrière la fausse charge est une figure luride qui mène une bande de rouilleurs de bétail.Notre héros essaie de prouver son innocence en se débarrassant de ses ennemis un par un.-From http://www.spaghetti-estern.net",1967,Western
