DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,PRECIP_TOTAL_DAY_MM,CLOUDCOVER_AVG_PERCENT,SUNHOUR,conso_elec_1
2025-02-12,12,7,13,0.0,72.25,7,41.514277213969386
2025-02-13,11,6,10,0.6,79.125,1,44.614923000289274
2025-02-14,8,6,21,3.0,95.875,1,46.86812905297915
2025-02-15,9,2,22,0.0,59.125,6,51.96887243298963
2025-02-16,10,2,16,0.0,64.875,9,50.55861451391313
2025-02-17,11,3,12,0.0,32.875,9,54.17989890847269
2025-02-18,11,3,23,0.0,27.875,8,50.68372961888546
2025-02-19,13,7,22,0.0,39.75,6,32.12414339408534
2025-02-20,12,11,24,0.2,78.625,2,39.23151908370022
2025-02-21,13,11,36,3.7,62.5,4,33.65221201854289
2025-02-22,12,9,20,4.4,44.0,11,37.292311998776164
2025-02-23,12,8,26,0.0,25.625,10,43.50787278424756
2025-02-24,12,9,36,1.7,92.125,3,44.1239980899838
2025-02-25,11,6,30,4.3,67.625,3,50.28388854793451
2025-02-26,11,6,36,0.4,70.5,2,42.139599393175864
2025-02-27,10,3,12,0.0,23.25,7,50.39209564557368
2025-02-28,9,1,21,0.0,9.625,11,58.88820155900031
2025-03-01,10,1,28,0.0,22.75,11,59.26794368646074
2025-03-02,10,1,25,0.0,7.875,11,51.412459115635436
2025-03-03,11,0,15,0.0,8.75,11,51.03457332134815
2025-03-04,13,4,15,0.0,54.75,9,37.35339310917468
2025-03-05,16,5,13,0.0,10.25,11,28.172138802941852
2025-03-06,16,6,22,0.0,29.375,10,33.518830049422014
2025-03-07,16,8,26,0.0,62.875,9,32.933096082855386
2025-03-08,15,10,24,1.3,73.0,8,29.783969635258998
2025-03-09,14,7,12,1.4,89.125,4,39.612718432411285
2025-03-10,15,7,10,0.1,63.75,5,34.19339888265719
2025-03-11,15,5,10,0.4,39.625,9,32.74208085888206
2025-03-12,7,1,15,0.4,87.375,5,65.27679231470302
2025-03-13,8,1,11,0.3,57.25,6,69.22821939879582
2025-03-14,9,-1,15,0.2,39.375,8,58.78862636925128
2025-03-15,8,-2,23,0.0,49.875,7,72.85725503162824
2025-03-16,5,1,18,0.6,95.375,2,50.92375878178076
2025-03-17,9,-1,26,0.0,46.75,7,63.84922477581382
2025-03-18,14,1,21,0.0,12.625,12,42.36559768660032
2025-03-19,17,6,22,0.0,38.0,8,27.16277941869557
2025-03-20,16,6,25,0.0,40.25,9,31.28445840726006
2025-03-21,15,9,28,0.5,67.625,5,24.838536364737234
2025-03-22,14,7,25,0.9,80.75,5,35.20918120378496
2025-03-23,12,9,16,3.0,98.25,1,41.42845028604698
2025-03-24,16,8,13,0.0,71.625,7,33.2858927297504
2025-03-25,13,6,14,0.0,56.625,9,37.92691912690541
2025-03-26,15,4,12,0.0,44.25,9,33.08942302958452
2025-03-27,16,5,13,0.0,13.375,13,30.394377460529483
2025-03-28,13,4,22,2.0,36.25,5,45.84468889434871
2025-03-29,11,2,15,0.0,43.125,9,51.64375554829842
2025-03-30,16,5,13,0.1,63.75,3,30.304767347945475
2025-03-31,15,4,23,0.0,3.75,13,37.84776275920808
2025-04-01,14,6,30,0.0,1.875,13,37.359186932587754
2025-04-02,14,5,31,1.0,47.875,5,41.680850964024984
2025-04-03,15,8,22,1.6,80.125,1,29.75343009959247
2025-04-04,20,9,21,0.0,23.25,9,15.475740565443571
2025-04-05,19,10,12,0.0,45.375,11,17.294205324362117
2025-04-06,20,9,12,0.0,6.375,13,13.65837608298861
2025-04-07,17,3,15,0.0,0.0,13,31.917972858900185
2025-04-08,18,5,15,0.0,19.625,10,26.67874370766771
2025-04-09,17,5,20,0.0,12.75,12,29.014829024263136
2025-04-10,17,6,23,0.0,1.0,13,27.34315602654959
2025-04-11,21,6,19,0.0,3.75,13,16.310795590104213
2025-04-12,16,10,20,0.1,78.25,1,25.86425762853353
2025-04-13,15,7,17,0.0,56.5,10,31.86904209546166
2025-04-14,15,6,13,0.1,59.5,5,31.272257284646496
2025-04-15,12,6,29,0.2,63.625,4,42.30647143983616
2025-04-16,14,4,20,0.1,58.5,7,40.57579834157669
2025-04-17,14,4,13,0.1,52.0,4,46.35612501472107
2025-04-18,16,8,19,1.2,89.0,1,29.506275657212335
2025-04-19,14,9,14,5.1,93.25,1,34.8756713284574
2025-04-20,12,9,19,3.4,95.75,1,39.70221633693533
2025-04-21,16,8,17,2.1,74.75,9,23.43556347563278
2025-04-22,15,6,16,0.0,67.875,7,33.90985282347266
2025-04-23,15,8,31,3.7,71.125,9,32.19273667181128
2025-04-24,16,6,11,0.0,52.0,9,38.63605054870439
2025-04-25,17,7,17,0.0,47.0,5,26.480625395090968
2025-04-26,14,10,15,5.9,89.75,2,33.99510622970092
2025-04-27,20,7,12,0.0,30.0,14,17.937518814530563
2025-04-28,21,9,20,0.0,27.625,13,14.13011513980875
2025-04-29,23,10,19,0.0,14.25,13,16.714234221772532
2025-04-30,24,12,21,0.0,8.125,15,13.977512942492805
2025-05-01,22,12,17,0.0,14.5,15,14.02834153115596
2025-05-02,24,12,18,0.0,22.625,14,11.81779630876684
2025-05-03,22,12,15,0.1,47.5,10,14.823632604216929
2025-05-04,15,8,28,1.9,85.5,4,27.5140765990647
2025-05-05,12,6,24,0.0,46.875,8,45.52348550334116
2025-05-06,15,5,20,0.0,62.875,10,42.666594690334925
2025-05-07,16,7,19,0.0,50.125,9,27.028391024607934
2025-05-08,16,6,17,0.0,67.625,4,29.24447703823141
2025-05-09,18,5,20,0.2,46.125,10,26.259093549227867
2025-05-10,19,8,17,0.7,66.5,8,18.9930486917676
2025-05-11,18,10,18,1.7,73.375,9,17.74360679476112
2025-05-12,17,9,17,2.5,74.125,8,25.17140743701507
2025-05-13,18,9,14,2.2,66.25,8,19.66293182980257
2025-05-14,21,10,10,2.5,47.125,11,15.710388645952772
2025-05-15,20,11,22,0.0,23.625,15,12.712806072072675
2025-05-16,20,6,21,0.0,5.625,15,21.944875369533325
2025-05-17,19,6,15,0.0,0.75,15,20.27684275686028
2025-05-18,21,7,20,0.0,18.375,12,17.420289270829784
2025-05-19,22,10,19,0.0,60.625,9,16.220275826054504
2025-05-20,22,10,14,0.0,30.125,13,13.153703525349068
2025-05-21,18,11,21,0.1,70.5,5,20.454919869208258
2025-05-22,20,8,17,0.2,59.125,8,19.22214268228013
2025-05-23,20,8,14,0.0,19.0,14,14.267278501245913
2025-05-24,19,8,22,0.0,71.125,4,20.36926771706461
2025-05-25,20,11,26,0.1,63.5,9,14.363835911947792
2025-05-26,17,8,21,0.1,46.5,9,28.032739466621003
2025-05-27,19,10,24,0.0,46.625,10,15.773488720419452
2025-05-28,21,13,22,0.1,66.375,7,10.415452064298869
2025-05-29,24,13,14,0.0,54.75,11,12.626329878740275
2025-05-30,30,15,8,0.1,13.625,14,10.296984673233187
2025-05-31,25,14,22,0.0,41.5,11,11.275542135380464
2025-06-01,22,11,19,0.0,28.125,15,14.485027493295767
2025-06-02,23,8,7,0.0,15.0,15,15.843957973316567
2025-06-03,20,9,26,0.0,20.25,15,16.371605915457607
2025-06-04,18,13,25,0.1,69.5,7,18.527530451937626
2025-06-05,17,12,24,1.0,82.5,3,20.42842688034199
2025-06-06,20,12,25,0.1,32.875,13,15.425506864488185
2025-06-07,19,12,37,0.6,69.0,9,16.75813267345886
2025-06-08,22,10,16,0.0,22.0,15,13.213044754196028
2025-06-09,25,8,10,0.0,1.5,16,18.11614113467751
2025-06-10,28,11,10,0.0,0.0,16,12.63544566168175
2025-06-11,32,14,24,0.5,16.0,14,11.865793064116698
2025-06-12,25,15,21,0.3,42.125,13,11.158595579007404
2025-06-13,28,14,15,1.0,35.125,13,10.097249449813118
2025-06-14,21,13,21,0.0,51.25,14,13.156051355093187
2025-06-15,24,11,14,0.0,27.5,16,14.577893297711096
2025-06-16,27,10,13,0.0,3.125,16,16.233090239991736
2025-06-17,29,13,13,0.0,0.25,16,14.276151579184738
2025-06-18,31,14,15,0.0,3.125,16,10.730073072396843
2025-06-19,34,17,20,0.0,3.0,16,7.397011068514009
2025-06-20,35,20,19,0.0,13.375,16,4.555242785187239
2025-06-21,35,18,19,0.0,8.75,16,6.428932800524193
2025-06-22,26,14,24,0.0,8.25,16,10.915188119644485
2025-06-23,25,15,25,0.0,25.375,16,10.341151974816643
2025-06-24,33,11,8,0.0,3.0,16,14.387367119062027
2025-06-25,30,16,20,0.6,46.375,11,9.744464924132421
2025-06-26,26,15,28,0.0,40.375,15,10.013001891877906
2025-06-27,28,17,22,0.0,60.0,10,9.162827261725853
2025-06-28,34,16,13,0.0,3.0,16,8.76180885008584
2025-06-29,37,18,18,0.0,9.875,16,8.904118416612732
2025-06-30,36,19,25,0.0,0.75,16,6.375400408659004
2025-07-01,37,17,20,0.0,4.125,16,7.314273954866974
2025-07-02,30,16,29,0.1,24.625,13,8.036196751744999
2025-07-03,30,10,17,0.0,8.875,16,15.723708622864777
2025-07-04,33,12,19,0.0,1.375,16,12.709498379076393
2025-07-05,30,12,24,0.0,25.625,13,13.928200642319721
2025-07-06,25,17,31,1.2,58.0,10,8.378590099658837
2025-07-07,22,13,28,0.5,74.875,10,11.912605304811752
2025-07-08,27,10,19,0.0,12.5,16,13.729809422897393
2025-07-09,29,11,11,0.0,1.75,16,11.879213885439789
2025-07-10,33,14,17,0.0,1.25,16,10.508833552726276
2025-07-11,35,17,24,0.0,2.5,16,8.685119035458778
2025-07-12,35,19,23,0.0,7.0,16,6.128456246478122
2025-07-13,30,17,31,0.0,14.625,15,7.00340897703041
2025-07-14,25,16,26,0.0,39.625,15,9.155862833266063
2025-07-15,24,13,32,0.0,38.375,12,12.462380855674606
2025-07-16,27,16,22,0.0,31.375,15,8.20452830741898
2025-07-17,34,15,12,0.0,6.125,15,10.153725105945528
2025-07-18,31,15,19,0.3,65.0,9,10.058208718446
2025-07-19,25,15,28,0.3,65.5,9,8.857029702169378
2025-07-20,23,16,32,5.4,74.0,9,9.322008624313455
2025-07-21,23,16,34,2.5,74.125,6,9.50470607373141
2025-07-22,22,14,18,0.0,50.75,9,12.191356367492805
2025-07-23,23,15,14,1.5,80.0,6,11.053802052034902
2025-07-24,23,13,18,0.1,36.0,14,10.346796758451491
2025-07-25,25,13,17,0.1,61.625,4,10.874609952101853
2025-07-26,26,14,20,0.0,25.5,15,11.566538793929524
2025-07-27,24,13,19,0.0,53.0,15,12.61654314109465
2025-07-28,25,13,16,0.0,37.5,14,12.618057223567256
2025-07-29,26,12,19,0.0,39.25,14,18.008550937851137
2025-07-30,25,14,16,0.0,44.25,12,11.627979561762483
2025-07-31,25,13,17,0.0,20.375,14,13.362678768216718
2025-08-01,27,14,16,0.0,29.875,15,12.049401939842522
2025-08-02,26,11,14,0.0,12.25,15,14.911947751828116
2025-08-03,27,11,15,0.0,14.5,15,13.558623057503516
2025-08-04,29,15,20,0.0,7.625,15,10.758969220493267
2025-08-05,27,14,21,0.0,13.5,15,10.149892264008672
2025-08-06,30,12,18,0.0,30.25,15,12.692135811237987
2025-08-07,33,14,16,0.0,6.75,15,10.466100097387987
2025-08-08,33,13,13,0.0,2.375,15,12.098248967263586
2025-08-09,33,14,17,0.0,2.0,15,13.54612442334086
2025-08-10,34,11,19,0.0,0.5,15,11.385828730371552
2025-08-11,41,17,26,0.0,13.625,14,8.549008152299612
2025-08-12,32,17,19,0.0,22.625,15,6.709827303048279
2025-08-13,32,17,16,0.0,30.75,14,7.622454507368453
2025-08-14,34,14,12,0.0,10.375,14,12.197845656664104
2025-08-15,40,18,21,0.0,5.125,14,7.0449960133668235
2025-08-16,40,22,22,0.0,2.5,14,4.461127611035347
2025-08-17,36,18,20,0.0,1.0,14,6.499287403518022
2025-08-18,33,17,15,0.4,42.25,5,8.54367819914774
2025-08-19,25,16,26,0.0,54.0,13,8.342670031454578
2025-08-20,25,15,8,1.5,89.75,4,10.216458589581976
2025-08-21,27,14,20,0.0,26.75,14,11.050129023894193
2025-08-22,28,11,15,0.0,17.375,14,13.087759513351855
2025-08-23,28,12,12,0.0,3.25,14,15.787127316122922
2025-08-24,31,15,19,0.0,2.875,14,10.633919022318011
2025-08-25,35,17,14,0.0,12.0,13,6.379885930673914
2025-08-26,26,15,24,0.0,27.375,11,10.186454314769428
2025-08-27,23,15,24,0.2,60.375,6,9.338213535231612
2025-08-28,22,12,30,1.0,51.75,10,14.10816333523509
2025-08-29,22,16,36,4.1,63.25,8,8.28673133541057
2025-08-30,23,14,28,0.1,66.375,3,10.87378991438641
2025-08-31,23,14,24,0.7,65.75,7,11.555486006878503
2025-09-01,20,13,26,0.8,68.5,6,13.038906233004145
2025-09-02,22,13,36,0.8,77.75,9,10.559644311533068
2025-09-03,22,16,39,0.9,71.25,6,8.698948887743146
2025-09-04,20,14,28,1.5,55.125,8,10.477560157722948
2025-09-05,23,12,6,0.0,11.75,13,12.150671997654175
2025-09-06,31,13,26,0.0,12.75,12,14.118545088337317
2025-09-07,24,16,25,0.0,30.5,13,9.36448353986486
2025-09-08,21,13,18,0.0,45.25,11,10.486939254797946
2025-09-09,21,11,24,0.0,37.125,11,15.285006725876688
2025-09-10,18,14,23,1.9,81.625,4,20.607665534921473
2025-09-11,20,13,30,0.4,78.25,5,13.238958312661378
2025-09-12,20,12,24,0.8,67.75,8,11.024819044259782
2025-09-13,20,12,27,1.8,61.875,8,12.370495705273873
2025-09-14,22,15,33,0.9,94.0,3,11.266911149186623
2025-09-15,20,13,32,0.0,56.125,6,11.150796641257463
2025-09-16,20,13,21,0.0,55.25,12,12.532583313775474
2025-09-17,24,12,17,0.0,11.25,13,14.007024269458139
2025-09-18,29,12,7,0.0,4.125,13,11.794990386948491
2025-09-19,30,16,19,0.0,19.5,13,8.94642717954438
2025-09-20,24,13,29,0.6,55.125,9,8.110479191917113
2025-09-21,19,11,12,2.5,40.625,7,15.258541009731706
2025-09-22,18,11,30,1.5,50.125,12,19.49486369721368
2025-09-23,16,8,22,0.2,58.25,6,25.381428772301934
2025-09-24,20,8,18,0.0,41.625,10,19.77509921668378
2025-09-25,19,8,13,0.0,26.625,12,17.139717244078735
2025-09-26,16,8,15,0.0,60.875,6,27.72387098857875
2025-09-27,19,11,10,0.0,36.375,11,17.222258981386354
2025-09-28,22,11,10,0.0,22.5,11,16.017782604692563
2025-09-29,23,10,11,0.0,7.375,11,12.846206773230842
2025-09-30,23,11,9,0.0,16.375,11,15.628429253016943
2025-10-01,23,11,12,0.0,10.75,11,14.01432628542742
2025-10-02,23,11,14,0.0,17.875,11,12.62588788853287
2025-10-03,19,14,18,0.1,74.5,1,14.64694486396858
2025-10-04,18,11,36,0.1,60.375,7,20.39811939114694
2025-10-05,19,9,19,0.0,6.125,11,17.85958793339829
2025-10-06,20,8,6,0.0,6.25,11,17.11866354448303
2025-10-07,24,10,12,0.0,4.75,11,14.42202960470736
2025-10-08,23,12,13,0.0,7.5,11,13.147572548826624
2025-10-09,22,10,19,0.0,16.625,11,15.99319601178157
2025-10-10,22,10,22,0.0,4.5,11,17.37902522421803
2025-10-11,24,10,22,0.0,12.625,11,13.143276751759727
2025-10-12,25,11,25,0.0,7.25,11,16.98624672451877
2025-10-13,23,10,27,0.0,2.25,11,12.071868300716247
2025-10-14,22,11,28,0.0,9.625,11,13.787500866950182
2025-10-15,20,10,26,0.0,1.375,11,15.882475809726865
2025-10-16,20,9,26,0.0,0.875,11,16.44958698837605
2025-10-17,20,8,25,0.0,0.0,11,15.94141081630499
2025-10-18,21,7,18,0.0,27.125,11,17.625379949356905
2025-10-19,18,14,33,0.9,86.625,2,16.161898411079985
2025-10-20,17,14,41,1.4,67.875,6,18.821270486111576
2025-10-21,17,14,25,0.7,80.875,4,21.69920419404205
2025-10-22,17,14,35,2.6,92.125,1,20.714030971930093
2025-10-23,16,10,49,1.9,84.625,3,25.12914409279623
2025-10-24,14,10,27,1.5,77.375,9,35.968679588929724
2025-10-25,15,9,22,1.6,71.625,9,31.95262851471749
2025-10-26,13,8,23,0.0,66.0,6,41.088876051588045
2025-10-27,16,12,32,0.2,83.5,1,26.574072104809034
2025-10-28,16,11,18,0.0,69.5,4,23.84461297160261
2025-10-29,15,10,8,0.0,48.875,4,28.319456879409092
2025-10-30,16,7,19,0.0,29.75,10,32.24188081536979
2025-10-31,18,12,28,0.3,46.875,6,20.15970350432358
2025-11-01,16,11,29,3.2,62.125,7,25.945655855693214
2025-11-02,14,10,27,0.9,64.0,3,33.38718036491898
2025-11-03,17,11,23,0.0,37.0,8,25.938629260313377
2025-11-04,16,10,27,0.0,51.625,8,25.40275725014326
2025-11-05,20,13,29,0.0,40.625,10,12.656516857404046
2025-11-06,18,13,24,0.9,84.875,2,17.63605322561899
2025-11-07,15,11,25,0.3,78.875,3,28.368724510641062
2025-11-08,15,9,13,0.0,24.375,9,34.40620824116029
2025-11-09,16,9,18,0.0,43.5,9,30.311165777166487
2025-11-10,16,10,27,1.1,64.875,7,29.19647601720172
2025-11-11,17,11,28,0.0,35.375,9,26.00260125645496
2025-11-12,19,12,30,0.0,14.875,9,16.033606146612414
2025-11-13,20,14,27,0.0,50.25,7,11.75014826842446
2025-11-14,20,11,40,0.3,55.875,3,13.565626540769163
2025-11-15,15,11,16,2.7,63.875,2,29.94008242221648
2025-11-16,12,9,6,0.8,65.5,2,39.47942778252926
2025-11-17,11,4,21,0.0,55.125,4,48.465580631965054
2025-11-18,9,3,13,0.0,34.875,9,58.27336363990303
2025-11-19,9,2,26,1.0,81.375,6,51.41796417389256
2025-11-20,7,0,19,0.1,28.125,7,77.39127856438695
2025-11-21,8,0,21,0.0,9.375,9,54.86329397285182
2025-11-22,8,0,22,5.2,90.125,1,53.59344946199484
2025-11-23,14,9,25,2.9,94.0,1,37.937576969900235
2025-11-24,11,7,27,1.5,83.375,6,48.56248212283321
2025-11-25,10,4,19,0.1,40.125,9,54.183011066965996
2025-11-26,9,2,11,0.0,48.625,4,59.51873485187997
2025-11-27,14,6,15,0.1,94.125,3,36.954686940466416
2025-11-28,14,9,20,1.2,70.75,1,30.94933513694817
2025-11-29,13,7,27,1.1,78.75,1,39.29563777695553
2025-11-30,10,5,18,0.0,18.625,7,46.61419144243944
2025-12-01,11,4,26,0.0,58.25,2,52.680574720405204
2025-12-02,12,6,19,1.7,69.875,4,42.3676532595408
2025-12-03,11,4,16,3.3,59.875,7,44.03761345539594
2025-12-04,11,5,24,9.0,87.625,3,45.48948654423093
2025-12-05,14,4,37,2.5,67.75,1,40.610432671674936
2025-12-06,13,12,32,0.9,70.125,6,32.08333652046649
2025-12-07,15,12,36,2.2,99.5,1,25.69778289241399
2025-12-08,15,11,32,2.8,72.75,7,29.706692913326545
2025-12-09,14,11,32,0.6,67.0,4,32.78389302754791
2025-12-10,14,9,10,0.0,56.0,5,32.27639320373816
2025-12-11,12,7,13,0.0,38.375,6,40.021639116403044
2025-12-12,12,9,10,0.8,86.875,2,40.92819974943055
2025-12-13,13,7,10,0.0,50.25,9,33.35247106816043
2025-12-14,13,6,10,0.0,18.0,9,34.37014490249378
2025-12-15,13,8,26,0.0,52.25,8,35.269911959240744
2025-12-16,12,9,15,0.7,86.5,2,39.14621139315261
2025-12-17,11,5,12,0.0,31.0,9,48.46126555831062
2025-12-18,14,11,41,0.8,84.625,7,36.72113989423857
2025-12-19,12,6,11,1.8,58.5,7,46.68793637976868
2025-12-20,10,5,22,0.7,69.5,7,49.20030735018287
2025-12-21,10,8,17,2.9,98.875,1,46.91062382285736
2025-12-22,10,5,13,0.1,60.125,5,44.987353176810956
2025-12-23,9,4,11,0.0,46.875,9,53.9000290656411
2025-12-24,5,-1,33,0.0,30.0,6,68.95052366366701
2025-12-25,2,-3,21,0.0,62.375,6,84.64629219477233
2025-12-26,5,-1,21,0.0,32.5,9,65.12666030077851
2025-12-27,7,-1,19,0.0,4.0,9,68.37575234256762
2025-12-28,7,-1,24,0.0,1.0,9,74.96280293451676
2025-12-29,7,-1,13,0.0,3.125,9,64.29305903503042
2025-12-30,6,-2,28,0.0,30.0,6,71.7718108824827
2025-12-31,5,-2,25,0.0,1.875,9,76.96903674032
